model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,1x4,0,0.485,1x4 → 2x2 → 4x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,2x1,1,0.4825,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,2x2,2,0.535,1x4 → 2x2 → 4x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,3x1,3,0.5875,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,3x2,4,0.6625,3x2 → 6x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,4x1,5,0.63,1x4 → 2x2 → 4x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,5x1,6,0.655,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,6x1,7,0.69,3x2 → 6x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,7x1,8,0.755,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,8x1,9,0.7075,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,9x1,10,0.745,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,10x1,11,0.7025,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,1,No budget,12,0.71,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,2,1x4,0,0.195,1x4 → 2x2 → 4x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,2,2x1,1,0.1,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,2,2x2,2,0.195,1x4 → 2x2 → 4x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,2,3x1,3,0.2375,
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,2,3x2,4,0.3175,3x2 → 6x1
Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,Qwen3-30B,0,2,4x1,5,0.34,1x4 → 2x2 → 4x1
