prompt_mode,series,model,k,accuracy
at_most_K,mean_across_models,,1,0.28500000000000003
at_most_K,mean_across_models,,2,0.10633333333333334
at_most_K,mean_across_models,,3,0.07866666666666666
at_most_K,model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,1,0.25
at_most_K,model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,2,0.07
at_most_K,model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,3,0.04
at_most_K,model,Qwen_Qwen3-4B-Thinking-2507,1,0.23
at_most_K,model,Qwen_Qwen3-4B-Thinking-2507,2,0.065
at_most_K,model,Qwen_Qwen3-4B-Thinking-2507,3,0.03
at_most_K,model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,1,0.295
at_most_K,model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,2,0.115
at_most_K,model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,3,0.055
at_most_K,model,Qwen_Qwen3.5-122B-A10B-FP8,1,0.235
at_most_K,model,Qwen_Qwen3.5-122B-A10B-FP8,2,0.065
at_most_K,model,Qwen_Qwen3.5-122B-A10B-FP8,3,0.075
at_most_K,model,Qwen_Qwen3.5-27B-FP8,1,0.3
at_most_K,model,Qwen_Qwen3.5-27B-FP8,2,0.06
at_most_K,model,Qwen_Qwen3.5-27B-FP8,3,0.05
at_most_K,model,Qwen_Qwen3.5-35B-A3B-FP8,1,0.235
at_most_K,model,Qwen_Qwen3.5-35B-A3B-FP8,2,0.03
at_most_K,model,Qwen_Qwen3.5-35B-A3B-FP8,3,0.065
at_most_K,model,Qwen_Qwen3.5-9B,1,0.245
at_most_K,model,Qwen_Qwen3.5-9B,2,0.095
at_most_K,model,Qwen_Qwen3.5-9B,3,0.035
at_most_K,model,gemini-3-flash-preview,1,0.695
at_most_K,model,gemini-3-flash-preview,2,0.22
at_most_K,model,gemini-3-flash-preview,3,0.135
at_most_K,model,gemini-3.1-pro-preview,1,0.475
at_most_K,model,gemini-3.1-pro-preview,2,0.285
at_most_K,model,gemini-3.1-pro-preview,3,0.145
at_most_K,model,gpt-5,1,0.31
at_most_K,model,gpt-5,2,0.185
at_most_K,model,gpt-5,3,0.175
at_most_K,model,gpt-5-mini,1,0.27
at_most_K,model,gpt-5-mini,2,0.11
at_most_K,model,gpt-5-mini,3,0.095
at_most_K,model,openai_gpt-oss-120B_high,1,0.23
at_most_K,model,openai_gpt-oss-120B_high,2,0.09
at_most_K,model,openai_gpt-oss-120B_high,3,0.13
at_most_K,model,openai_gpt-oss-120B_medium,1,0.17
at_most_K,model,openai_gpt-oss-120B_medium,2,0.045
at_most_K,model,openai_gpt-oss-120B_medium,3,0.04
at_most_K,model,openai_gpt-oss-20B_high,1,0.175
at_most_K,model,openai_gpt-oss-20B_high,2,0.075
at_most_K,model,openai_gpt-oss-20B_high,3,0.07
at_most_K,model,openai_gpt-oss-20B_medium,1,0.16
at_most_K,model,openai_gpt-oss-20B_medium,2,0.085
at_most_K,model,openai_gpt-oss-20B_medium,3,0.04
at_most_K,uniform_random,,1,0.0007468295260792908
at_most_K,uniform_random,,2,0.0005775246112817492
at_most_K,uniform_random,,3,0.0004216859124647099
exact_k,mean_across_models,,1,0.4007142857142857
exact_k,mean_across_models,,2,0.16464285714285712
exact_k,mean_across_models,,3,0.12321428571428572
exact_k,model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,1,0.32
exact_k,model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,2,0.165
exact_k,model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,3,0.135
exact_k,model,Qwen_Qwen3-4B-Thinking-2507,1,0.32
exact_k,model,Qwen_Qwen3-4B-Thinking-2507,2,0.12
exact_k,model,Qwen_Qwen3-4B-Thinking-2507,3,0.095
exact_k,model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,1,0.345
exact_k,model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,2,0.165
exact_k,model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,3,0.115
