series,model,k,accuracy,under_prediction_rate,over_prediction_rate
mean_across_models,,1,0.8070588235294118,0.008271214229359117,0.16528920487659982
mean_across_models,,2,0.41647058823529415,0.4611638694638773,0.11681783582864393
mean_across_models,,3,0.2423529411764706,0.7128512414718612,0.039502649364070046
model,Qwen_Qwen3-30B-A3B-Thinking-2507,1,0.71,0.0,0.29
model,Qwen_Qwen3-30B-A3B-Thinking-2507,2,0.495,0.29,0.2182741116751269
model,Qwen_Qwen3-30B-A3B-Thinking-2507,3,0.33,0.6482412060301508,0.0202020202020202
model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,1,0.72,0.01,0.2727272727272727
model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,2,0.505,0.275,0.2256410256410256
model,Qwen_Qwen3-30B-A3B-Thinking-2507-FP8,3,0.405,0.56,0.0353535353535353
model,Qwen_Qwen3-4B-Thinking-2507,1,0.77,0.015,0.2182741116751269
model,Qwen_Qwen3-4B-Thinking-2507,2,0.34,0.585,0.0757575757575757
model,Qwen_Qwen3-4B-Thinking-2507,3,0.125,0.875,0.0
model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,1,0.55,0.0235294117647058,0.3373493975903614
model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,2,0.39,0.4293193717277487,0.164021164021164
model,Qwen_Qwen3-Next-80B-A3B-Thinking-FP8,3,0.29,0.6666666666666666,0.0057471264367816
model,Qwen_Qwen3.5-122B-A10B-FP8,1,0.835,0.005,0.1608040201005025
model,Qwen_Qwen3.5-122B-A10B-FP8,2,0.465,0.4070351758793969,0.1256281407035175
model,Qwen_Qwen3.5-122B-A10B-FP8,3,0.265,0.6717171717171717,0.0609137055837563
model,Qwen_Qwen3.5-27B,1,0.785,0.015228426395939,0.190721649484536
model,Qwen_Qwen3.5-27B,2,0.33,0.5284974093264249,0.1322751322751322
model,Qwen_Qwen3.5-27B,3,0.2,0.7106598984771574,0.0871794871794871
model,Qwen_Qwen3.5-27B-FP8,1,0.825,0.0,0.1494845360824742
model,Qwen_Qwen3.5-27B-FP8,2,0.395,0.4540816326530612,0.1443298969072164
model,Qwen_Qwen3.5-27B-FP8,3,0.2,0.7121212121212122,0.0862944162436548
model,Qwen_Qwen3.5-35B-A3B,1,0.9,0.0050251256281407,0.0909090909090909
model,Qwen_Qwen3.5-35B-A3B,2,0.365,0.5454545454545454,0.0858585858585858
model,Qwen_Qwen3.5-35B-A3B,3,0.19,0.7788944723618091,0.0301507537688442
model,Qwen_Qwen3.5-35B-A3B-FP8,1,0.9,0.0,0.0909090909090909
model,Qwen_Qwen3.5-35B-A3B-FP8,2,0.39,0.51010101010101,0.0959595959595959
model,Qwen_Qwen3.5-35B-A3B-FP8,3,0.235,0.7244897959183674,0.0358974358974358
model,Qwen_Qwen3.5-4B,1,0.735,0.0,0.1647727272727272
model,Qwen_Qwen3.5-4B,2,0.28,0.5193370165745856,0.1712707182320442
model,Qwen_Qwen3.5-4B,3,0.24,0.6557377049180327,0.0824175824175824
model,Qwen_Qwen3.5-9B,1,0.845,0.0051546391752577,0.1243523316062176
model,Qwen_Qwen3.5-9B,2,0.355,0.5380710659898477,0.1020408163265306
model,Qwen_Qwen3.5-9B,3,0.155,0.8153846153846154,0.0256410256410256
model,gpt-5,1,0.935,0.0,0.065
model,gpt-5,2,0.5,0.4120603015075377,0.0854271356783919
model,gpt-5,3,0.255,0.695,0.05
model,gpt-5-mini,1,0.875,0.0050761421319796,0.1071428571428571
model,gpt-5-mini,2,0.445,0.507537688442211,0.0452261306532663
model,gpt-5-mini,3,0.185,0.7738693467336684,0.0404040404040404
model,openai_gpt-oss-120B_high,1,0.875,0.0,0.1116751269035533
model,openai_gpt-oss-120B_high,2,0.44,0.47,0.09
model,openai_gpt-oss-120B_high,3,0.185,0.7614213197969543,0.0507614213197969
model,openai_gpt-oss-120B_medium,1,0.765,0.0154639175257731,0.1989528795811518
model,openai_gpt-oss-120B_medium,2,0.52,0.4221105527638191,0.0552763819095477
model,openai_gpt-oss-120B_medium,3,0.25,0.7135678391959799,0.0351758793969849
model,openai_gpt-oss-20B_high,1,0.915,0.005050505050505,0.0710659898477157
model,openai_gpt-oss-20B_high,2,0.435,0.4948979591836734,0.0612244897959183
model,openai_gpt-oss-20B_high,3,0.275,0.7142857142857143,0.0051020408163265
model,openai_gpt-oss-20B_medium,1,0.78,0.0360824742268041,0.1657754010695187
model,openai_gpt-oss-20B_medium,2,0.43,0.4512820512820513,0.1076923076923077
model,openai_gpt-oss-20B_medium,3,0.335,0.6414141414141414,0.0203045685279187
