panel,k,series,model_key,model_label,final_sufficiency_first_turn_hit,final_sufficiency_recovered,noninferior_10pp
a,2,mean_across_models,,,0.8573680148879779,0.8473606899816365,
a,2,model,gemini-3-flash,gemini-3-flash,0.8980891719745223,0.8390804597701149,0.0
a,2,model,gpt-5,gpt-5,1.0,0.9928571428571428,1.0
a,2,model,gpt-5-mini,gpt-5-mini,0.984375,0.9734513274336284,1.0
a,2,model,gpt-oss-120B-high,gpt-oss-120B-high,1.0,0.9838709677419356,1.0
a,2,model,gpt-oss-120B-medium,gpt-oss-120B-medium,0.961904761904762,0.9285714285714286,1.0
a,2,model,gpt-oss-20B-high,gpt-oss-20B-high,0.920863309352518,0.8936170212765957,1.0
a,2,model,gpt-oss-20B-medium,gpt-oss-20B-medium,0.7058823529411765,0.6875,0.0
a,2,model,qwen3-30B,qwen3-30B,0.6645161290322581,0.6571428571428571,0.0
a,2,model,qwen3-4B,qwen3-4B,0.7456647398843931,0.7395833333333334,0.0
a,2,model,qwen3-next-80B,qwen3-next-80B,0.3720930232558139,0.4838709677419355,1.0
a,2,model,qwen3.5-122B,qwen3.5-122B,0.9452054794520548,0.9591836734693876,1.0
a,2,model,qwen3.5-27B,qwen3.5-27B,0.9722222222222222,0.9285714285714286,0.0
a,2,model,qwen3.5-35B,qwen3.5-35B,0.9272727272727272,0.8761061946902655,0.0
a,2,model,qwen3.5-9B,qwen3.5-9B,0.9050632911392406,0.9196428571428572,1.0
b,3,mean_across_models,,,0.7238880530427816,0.7068558096542706,
b,3,model,gemini-3-flash,gemini-3-flash,0.547486033519553,0.5698924731182796,1.0
b,3,model,gpt-5,gpt-5,0.9783783783783784,0.9738562091503268,1.0
b,3,model,gpt-5-mini,gpt-5-mini,0.950354609929078,0.9411764705882352,1.0
b,3,model,gpt-oss-120B-high,gpt-oss-120B-high,0.9583333333333334,0.9105691056910568,0.0
b,3,model,gpt-oss-120B-medium,gpt-oss-120B-medium,0.7666666666666667,0.7368421052631579,0.0
b,3,model,gpt-oss-20B-high,gpt-oss-20B-high,0.8888888888888888,0.875,1.0
b,3,model,gpt-oss-20B-medium,gpt-oss-20B-medium,0.6077348066298343,0.5164835164835165,0.0
b,3,model,qwen3-30B,qwen3-30B,0.3195876288659793,0.358695652173913,1.0
b,3,model,qwen3-4B,qwen3-4B,0.5927272727272728,0.5606060606060606,0.0
b,3,model,qwen3-next-80B,qwen3-next-80B,0.2610837438423645,0.1875,0.0
b,3,model,qwen3.5-122B,qwen3.5-122B,0.8203883495145631,0.7777777777777778,0.0
b,3,model,qwen3.5-27B,qwen3.5-27B,0.8666666666666667,0.8317757009345794,0.0
b,3,model,qwen3.5-35B,qwen3.5-35B,0.7636363636363637,0.8350515463917526,1.0
b,3,model,qwen3.5-9B,qwen3.5-9B,0.8125,0.8207547169811321,1.0
