dataset,guesser_label,examiner_label,mean_avg_normalized_eig,accuracy
thing,Gemini-3-flash,GPT-5-mini,0.20504689716580204,0.33
thing,Gemini-3-flash,Qwen3-30B,0.19939447059215135,0.3
thing,GPT-5-mini,GPT-5-mini,0.18289779226100727,0.38
thing,GPT-5-mini,Qwen3-30B,0.2487660846982789,0.33
thing,GPT-5,GPT-5-mini,0.22211906466805875,0.42
thing,GPT-5,Qwen3-30B,0.2398119792607943,0.34
thing,GPT-OSS-20B,GPT-5-mini,0.16438866050461334,0.11
thing,GPT-OSS-20B,Qwen3-30B,0.18154431212841535,0.145
thing,Qwen3-30B,GPT-5-mini,0.1606919677430648,0.265
thing,Qwen3-30B,Qwen3-30B,0.15451563774168664,0.26
thing,Qwen3-4B,GPT-5-mini,0.15610110060990917,0.135
thing,Qwen3-4B,Qwen3-30B,0.1973315541488911,0.21
