dataset,guesser_label,examiner_label,turn,remaining_entropy,n
common,Gemini-3-flash,GPT-5-mini,1,3.812874203529242,111
common,Gemini-3-flash,GPT-5-mini,2,3.5925579160825154,111
common,Gemini-3-flash,GPT-5-mini,3,3.2182509377506308,111
common,Gemini-3-flash,GPT-5-mini,4,2.990034155843144,111
common,Gemini-3-flash,GPT-5-mini,5,2.6320568197468748,111
common,Gemini-3-flash,GPT-5-mini,6,2.4114576930564016,111
common,Gemini-3-flash,GPT-5-mini,7,2.1963815839956107,111
common,Gemini-3-flash,GPT-5-mini,8,2.0260146151996374,107
common,Gemini-3-flash,GPT-5-mini,9,1.9386382680275263,105
common,Gemini-3-flash,GPT-5-mini,10,1.8445928041653907,97
common,Gemini-3-flash,GPT-5-mini,11,1.7801332288812497,88
common,Gemini-3-flash,GPT-5-mini,12,1.7756725785949847,81
common,Gemini-3-flash,GPT-5-mini,13,1.7064786623899753,77
common,Gemini-3-flash,GPT-5-mini,14,1.6646443241222992,71
common,Gemini-3-flash,GPT-5-mini,15,1.6707841630402058,64
common,Gemini-3-flash,GPT-5-mini,16,1.5051962595193173,60
common,Gemini-3-flash,GPT-5-mini,17,1.4182754067212677,56
common,Gemini-3-flash,GPT-5-mini,18,1.4500749605109373,50
common,Gemini-3-flash,GPT-5-mini,19,1.2030110172040442,23
common,GPT-5,GPT-5-mini,1,3.8116253080967653,111
common,GPT-5,GPT-5-mini,2,3.57629114632194,111
common,GPT-5,GPT-5-mini,3,3.3644118623821315,111
common,GPT-5,GPT-5-mini,4,3.0329010505504446,111
common,GPT-5,GPT-5-mini,5,2.721134012004252,111
common,GPT-5,GPT-5-mini,6,2.408003142458181,111
common,GPT-5,GPT-5-mini,7,2.1417672456511085,111
common,GPT-5,GPT-5-mini,8,2.0048356307198794,110
common,GPT-5,GPT-5-mini,9,1.9136881940553747,109
common,GPT-5,GPT-5-mini,10,1.8490549172460347,106
common,GPT-5,GPT-5-mini,11,1.7506861085389283,101
common,GPT-5,GPT-5-mini,12,1.691288821334176,97
common,GPT-5,GPT-5-mini,13,1.602586125546452,94
common,GPT-5,GPT-5-mini,14,1.5570223351586192,87
common,GPT-5,GPT-5-mini,15,1.5672307104887908,82
common,GPT-5,GPT-5-mini,16,1.5536838806777478,78
common,GPT-5,GPT-5-mini,17,1.5527704503351196,71
common,GPT-5,GPT-5-mini,18,1.4942535772777252,67
common,GPT-5,GPT-5-mini,19,1.4560079715731473,59
common,GPT-5,GPT-5-mini,20,1.5275507003342936,48
