dataset,guesser_label,examiner_label,turn,pass_mass,n
common,Gemini-3-flash,GPT-5-mini,1,0.026451007157218556,111
common,Gemini-3-flash,GPT-5-mini,2,0.013368496361034661,111
common,Gemini-3-flash,GPT-5-mini,3,0.053575203462013665,111
common,Gemini-3-flash,GPT-5-mini,4,0.09668925023221311,111
common,Gemini-3-flash,GPT-5-mini,5,0.09236473268248202,111
common,Gemini-3-flash,GPT-5-mini,6,0.08601647588975374,111
common,Gemini-3-flash,GPT-5-mini,7,0.07508965677918196,111
common,Gemini-3-flash,GPT-5-mini,8,0.07429739451160819,107
common,Gemini-3-flash,GPT-5-mini,9,0.09482656028494782,105
common,Gemini-3-flash,GPT-5-mini,10,0.05979872447520993,97
common,Gemini-3-flash,GPT-5-mini,11,0.07349369814678598,88
common,Gemini-3-flash,GPT-5-mini,12,0.04891851944772487,81
common,Gemini-3-flash,GPT-5-mini,13,0.049623750583582184,77
common,Gemini-3-flash,GPT-5-mini,14,0.10751003401260689,71
common,Gemini-3-flash,GPT-5-mini,15,0.0826495885555534,64
common,Gemini-3-flash,GPT-5-mini,16,0.050852590611969645,60
common,Gemini-3-flash,GPT-5-mini,17,0.09284972841258776,56
common,Gemini-3-flash,GPT-5-mini,18,0.09430133803220307,50
common,Gemini-3-flash,GPT-5-mini,19,0.15573402500225134,23
common,GPT-5,GPT-5-mini,1,0.11427135146331883,111
common,GPT-5,GPT-5-mini,2,0.10162187715386269,111
common,GPT-5,GPT-5-mini,3,0.08756162227063338,111
common,GPT-5,GPT-5-mini,4,0.18361805679504653,111
common,GPT-5,GPT-5-mini,5,0.21504252824597392,111
common,GPT-5,GPT-5-mini,6,0.2599831766845847,111
common,GPT-5,GPT-5-mini,7,0.28785530215703115,111
common,GPT-5,GPT-5-mini,8,0.3111545164038027,110
common,GPT-5,GPT-5-mini,9,0.3779697458939575,109
common,GPT-5,GPT-5-mini,10,0.41222129181068584,106
common,GPT-5,GPT-5-mini,11,0.38557831639587964,101
common,GPT-5,GPT-5-mini,12,0.4040344817752186,97
common,GPT-5,GPT-5-mini,13,0.4205708407792866,94
common,GPT-5,GPT-5-mini,14,0.43745853847398236,87
common,GPT-5,GPT-5-mini,15,0.4660603313558274,82
common,GPT-5,GPT-5-mini,16,0.483300554998824,78
common,GPT-5,GPT-5-mini,17,0.4566264745277587,71
common,GPT-5,GPT-5-mini,18,0.4940476571062142,67
common,GPT-5,GPT-5-mini,19,0.46889588631938134,59
common,GPT-5,GPT-5-mini,20,0.4728266878592191,48
common,GPT-5-mini,GPT-5-mini,1,0.14974058108890345,111
common,GPT-5-mini,GPT-5-mini,2,0.12332380764164713,111
common,GPT-5-mini,GPT-5-mini,3,0.09708157261008898,111
common,GPT-5-mini,GPT-5-mini,4,0.17248919225999512,111
common,GPT-5-mini,GPT-5-mini,5,0.25832547830312885,111
common,GPT-5-mini,GPT-5-mini,6,0.2785347371850506,111
common,GPT-5-mini,GPT-5-mini,7,0.31848097390204055,111
common,GPT-5-mini,GPT-5-mini,8,0.3361377819136581,111
common,GPT-5-mini,GPT-5-mini,9,0.4159968055451208,109
common,GPT-5-mini,GPT-5-mini,10,0.39576097049146686,107
common,GPT-5-mini,GPT-5-mini,11,0.4218132544584227,102
